iteration,reward_mean,length_mean,games,loss
1000,-0.12,0.25,8,0.037413887679576874
2000,0.0,1.75,8,0.05108240246772766
3000,0.0,2.0,8,0.008539354428648949
4000,0.12,2.12,8,0.016480546444654465
5000,0.5,2.5,8,0.001773972762748599
6000,0.25,2.0,8,0.019710246473550797
7000,0.3,1.3,10,0.0027026201132684946
8000,0.17,1.17,12,0.0011338406475260854
9000,1.0,1.67,9,0.004632730036973953
10000,0.12,0.5,8,0.003092107130214572
11000,0.38,0.75,8,0.003415969666093588
12000,0.5,0.88,8,0.0021792424377053976
13000,0.25,0.62,8,0.0030137505382299423
14000,0.5,0.88,8,0.005891013890504837
15000,0.62,1.0,8,0.005488811060786247
16000,0.38,0.75,8,0.00643760384991765
17000,0.25,0.62,8,0.006924649700522423
18000,0.38,0.75,8,0.004867729730904102
19000,0.5,0.88,8,0.002307349117472768
20000,0.88,1.25,8,0.002559977350756526
21000,0.75,1.12,8,0.0031190847512334585
22000,0.25,0.62,8,0.00266832928173244
23000,0.25,0.62,8,0.002801976865157485
24000,0.25,0.62,8,0.024113168939948082
25000,0.25,0.62,8,0.0035598636604845524
26000,0.25,0.62,8,0.005909787956625223
27000,0.25,0.62,8,0.002858076710253954
28000,0.62,1.0,8,0.0043118782341480255
29000,0.38,0.75,8,0.002546036848798394
30000,0.38,0.75,8,0.003100757487118244
31000,0.25,0.62,8,0.004063447006046772
32000,0.25,0.62,8,0.009286654181778431
33000,0.25,0.62,8,0.010261431336402893
34000,0.5,0.88,8,0.004163564648479223
35000,0.25,0.62,8,0.0022568623535335064
36000,2.78,4.11,9,0.004170449450612068
37000,0.38,0.75,8,0.009947678074240685
38000,0.38,0.75,8,0.004992539994418621
39000,0.25,0.62,8,0.005625676363706589
40000,0.25,0.62,8,0.0031984474044293165
41000,0.25,0.62,8,0.004213640931993723
42000,0.62,1.0,8,0.0030580232851207256
43000,0.38,0.75,8,0.009967437945306301
44000,0.75,1.12,8,0.003419356420636177
45000,0.5,0.88,8,0.0029482850804924965
46000,0.5,0.88,8,0.01967104896903038
47000,0.89,1.56,9,0.0021428728941828012
48000,0.25,0.62,8,0.003052333602681756
49000,0.25,0.62,8,0.005042948294430971
50000,0.25,0.62,8,0.007632255554199219
