iteration,reward_mean,length_mean,games,loss
500,-1.0,0.0,8,0.12941880524158478
1000,-1.0,0.0,9,0.07785715907812119
1500,-1.0,0.0,10,0.059540435671806335
2000,-1.0,0.0,8,0.029085872694849968
2500,-1.0,0.0,8,0.0238344706594944
3000,-1.0,0.0,8,0.02802622690796852
3500,-1.0,0.0,8,0.009879102930426598
4000,-0.88,0.0,8,0.01508366595953703
4500,-0.45,0.0,11,0.01653973199427128
5000,-0.4,0.0,10,0.023117104545235634
5500,-0.38,0.0,8,0.022012412548065186
6000,-0.11,0.0,9,0.028131281957030296
6500,-0.12,0.0,8,0.0068439156748354435
7000,0.12,0.0,8,0.008495820686221123
7500,-0.12,0.0,8,0.015682397410273552
8000,0.25,0.0,8,0.01909538544714451
8500,0.0,0.0,8,0.0043617719784379005
9000,0.25,0.0,8,0.000993601162917912
9500,0.12,0.0,8,0.013253633864223957
10000,0.12,0.0,8,0.006553822197020054
10500,0.25,0.0,8,0.010746737010776997
11000,0.0,0.0,8,0.009192073717713356
11500,0.88,0.0,8,0.003146100789308548
12000,0.0,0.0,8,0.0054438309744000435
12500,0.88,0.0,8,0.012125003151595592
13000,0.62,0.0,8,0.009800247848033905
13500,0.5,0.0,8,0.007218875922262669
14000,-0.12,0.0,8,0.011933492496609688
14500,0.25,0.0,8,0.009514914825558662
15000,0.75,0.0,8,0.0170562956482172
15500,0.5,0.0,8,0.035178687423467636
16000,0.75,0.0,8,0.007174613885581493
16500,0.88,0.0,8,0.013760273344814777
17000,0.38,0.0,8,0.020170707255601883
17500,0.88,0.0,8,0.013310572132468224
18000,0.12,0.0,8,0.004501041024923325
18500,1.12,0.0,8,0.02147107571363449
19000,1.67,0.0,9,0.01456056535243988
19500,2.25,0.0,8,0.01606084778904915
20000,1.38,0.0,8,0.022261612117290497
